y	yend	x	xend	key	PANEL
5.81815244250876	8.32676913818879	9	9	9	2
8.32676913818879	8.35934322832471	8	8	8	2
8.35934322832471	8.85301763566558	6	6	6	2
8.85301763566558	9.11628462011672	5	5	5	2
9.11628462011672	10.765245529241	4	4	4	2
10.765245529241	12.2785516149955	2	2	2	2
12.2785516149955	12.8815570480393	1	1	1	2
12.8815570480393	13.8815570480393	0	0	0	2
5.81815244250876	6.81815244250876	9	9	9	5
6.81815244250876	6.88542715102899	8	8	8	5
6.88542715102899	7.00164754011628	7	7	7	5
7.00164754011628	7.20171988877584	6	6	6	5
7.20171988877584	7.20751927237447	5	5	5	5
7.20751927237447	8.1838554295841	4	4	4	5
8.1838554295841	8.27461530859456	3	3	3	5
8.27461530859456	9.77739123516269	2	2	2	5
9.77739123516269	9.8153097264266	1	1	1	5
9.8153097264266	13.8815570480393	0	0	0	5
5.81815244250876	7.48004849724583	9	9	9	8
7.48004849724583	7.92794380660996	8	8	8	8
7.92794380660996	8.21483916922859	7	7	7	8
8.21483916922859	8.3185305639025	6	6	6	8
8.3185305639025	8.35822969013013	5	5	5	8
8.35822969013013	9.11967607341862	2	2	2	8
9.11967607341862	11.5240324144373	1	1	1	8
11.5240324144373	13.8815570480393	0	0	0	8
5.81815244250876	6.88484664341119	9	9	9	11
6.88484664341119	7.05141457080121	8	8	8	11
7.05141457080121	7.16821207110614	7	7	7	11
7.16821207110614	7.18118593350995	6	6	6	11
7.18118593350995	7.24470631048094	5	5	5	11
7.24470631048094	7.46524561120404	4	4	4	11
7.46524561120404	7.68716132594694	2	2	2	11
7.68716132594694	10.8020398979861	1	1	1	11
10.8020398979861	13.8815570480393	0	0	0	11
