y	yend	x	xend	key	showSelected.variable	showSelected.value	PANEL
0	0	118093.872	118095.686	McGill0002 118093872 118095686	McGill0002peaks	1	1
0	0	118093.872	118095.69	McGill0002 118093872 118095690	McGill0002peaks	2	1
0	0	118122.158	118123.535	McGill0002 118122158 118123535	McGill0002peaks	2	1
0	0	118093.872	118095.688	McGill0002 118093872 118095688	McGill0002peaks	3	1
0	0	118109.669	118112.96	McGill0002 118109669 118112960	McGill0002peaks	3	1
0	0	118122.138	118123.536	McGill0002 118122138 118123536	McGill0002peaks	3	1
0	0	118093.877	118095.653	McGill0002 118093877 118095653	McGill0002peaks	4	1
0	0	118100.519	118100.815	McGill0002 118100519 118100815	McGill0002peaks	4	1
0	0	118108.529	118112.96	McGill0002 118108529 118112960	McGill0002peaks	4	1
0	0	118122.138	118123.536	McGill0002 118122138 118123536	McGill0002peaks	4	1
0	0	118093.877	118095.653	McGill0002 118093877 118095653	McGill0002peaks	5	1
0	0	118100.519	118100.815	McGill0002 118100519 118100815	McGill0002peaks	5	1
0	0	118108.529	118112.96	McGill0002 118108529 118112960	McGill0002peaks	5	1
0	0	118122.138	118123.476	McGill0002 118122138 118123476	McGill0002peaks	5	1
0	0	118123.772	118123.814	McGill0002 118123772 118123814	McGill0002peaks	5	1
0	0	118093.877	118095.618	McGill0002 118093877 118095618	McGill0002peaks	6	1
0	0	118095.956	118096.308	McGill0002 118095956 118096308	McGill0002peaks	6	1
0	0	118099.638	118100.819	McGill0002 118099638 118100819	McGill0002peaks	6	1
0	0	118108.529	118112.96	McGill0002 118108529 118112960	McGill0002peaks	6	1
0	0	118122.138	118123.476	McGill0002 118122138 118123476	McGill0002peaks	6	1
0	0	118123.772	118123.814	McGill0002 118123772 118123814	McGill0002peaks	6	1
0	0	118093.121	118093.227	McGill0002 118093121 118093227	McGill0002peaks	7	1
0	0	118093.898	118095.618	McGill0002 118093898 118095618	McGill0002peaks	7	1
